WHO report date,var,val
2014-03-22,incidence Cases-- Liberia,0
2014-03-23,incidence Cases-- Liberia,0
2014-03-24,incidence Cases-- Liberia,0
2014-03-25,incidence Cases-- Liberia,0
2014-03-26,incidence Cases-- Liberia,0
2014-03-27,incidence Cases-- Liberia,8
2014-03-31,incidence Cases-- Liberia,0
2014-04-01,incidence Cases-- Liberia,0
2014-04-02,incidence Cases-- Liberia,0
2014-04-07,incidence Cases-- Liberia,10
2014-04-10,incidence Cases-- Liberia,4
2014-04-17,incidence Cases-- Liberia,5
2014-04-21,incidence Cases-- Liberia,0
2014-04-23,incidence Cases-- Liberia,7
2014-04-30,incidence Cases-- Liberia,-21
2014-05-05,incidence Cases-- Liberia,0
2014-05-14,incidence Cases-- Liberia,-1
2014-05-23,incidence Cases-- Liberia,0
2014-05-27,incidence Cases-- Liberia,0
2014-05-28,incidence Cases-- Liberia,0
2014-06-02,incidence Cases-- Liberia,1
2014-06-05,incidence Cases-- Liberia,0
2014-06-10,incidence Cases-- Liberia,2
2014-06-11,incidence Cases-- Liberia,0
2014-06-18,incidence Cases-- Liberia,18
2014-06-24,incidence Cases-- Liberia,18
2014-07-02,incidence Cases-- Liberia,56
2014-07-07,incidence Cases-- Liberia,8
2014-07-08,incidence Cases-- Liberia,16
2014-07-14,incidence Cases-- Liberia,11
2014-07-16,incidence Cases-- Liberia,30
2014-07-21,incidence Cases-- Liberia,24
2014-07-24,incidence Cases-- Liberia,28
2014-07-28,incidence Cases-- Liberia,25
2014-07-31,incidence Cases-- Liberia,80
2014-08-03,incidence Cases-- Liberia,62
2014-08-04,incidence Cases-- Liberia,95
2014-08-08,incidence Cases-- Liberia,68
2014-08-12,incidence Cases-- Liberia,45
2014-08-13,incidence Cases-- Liberia,71
2014-08-15,incidence Cases-- Liberia,116
2014-08-19,incidence Cases-- Liberia,48
2014-08-21,incidence Cases-- Liberia,138
2014-08-22,incidence Cases-- Liberia,110
2014-08-28,incidence Cases-- Liberia,296
2014-09-06,incidence Cases-- Liberia,493
2014-09-08,incidence Cases-- Liberia,175
2014-09-12,incidence Cases-- Liberia,35
2014-09-16,incidence Cases-- Liberia,326
2014-09-18,incidence Cases-- Liberia,303
2014-09-22,incidence Cases-- Liberia,312
2014-09-24,incidence Cases-- Liberia,258
2014-09-26,incidence Cases-- Liberia,178
2014-10-01,incidence Cases-- Liberia,238
2014-10-03,incidence Cases-- Liberia,138
2014-10-08,incidence Cases-- Liberia,90
2014-10-10,incidence Cases-- Liberia,152
2014-10-15,incidence Cases-- Liberia,173
2014-10-17,incidence Cases-- Liberia,13
2014-10-22,incidence Cases-- Liberia,403
2014-10-25,incidence Cases-- Liberia,0
2014-10-29,incidence Cases-- Liberia,1870
2014-10-31,incidence Cases-- Liberia,0
2014-11-05,incidence Cases-- Liberia,-10
2014-11-07,incidence Cases-- Liberia,94
2014-11-12,incidence Cases-- Liberia,203
2014-11-14,incidence Cases-- Liberia,56
2014-11-19,incidence Cases-- Liberia,191
2014-11-21,incidence Cases-- Liberia,13
2014-11-26,incidence Cases-- Liberia,86
2014-11-28,incidence Cases-- Liberia,467
2014-12-03,incidence Cases-- Liberia,0
2014-12-10,incidence Cases-- Liberia,84
2014-12-17,incidence Cases-- Liberia,78
2014-12-24,incidence Cases-- Liberia,65
2014-12-31,incidence Cases-- Liberia,156
2015-01-07,incidence Cases-- Liberia,139
2015-01-14,incidence Cases-- Liberia,174
2015-01-21,incidence Cases-- Liberia,147
2015-01-28,incidence Cases-- Liberia,144
2015-02-04,incidence Cases-- Liberia,123
2015-02-11,incidence Cases-- Liberia,136
2015-02-18,incidence Cases-- Liberia,126
2015-02-25,incidence Cases-- Liberia,231
2015-03-04,incidence Cases-- Liberia,11
2015-03-11,incidence Cases-- Liberia,94
2015-03-18,incidence Cases-- Liberia,183
2015-03-25,incidence Cases-- Liberia,76
2015-04-01,incidence Cases-- Liberia,110
2015-04-08,incidence Cases-- Liberia,150
2015-04-15,incidence Cases-- Liberia,180
2015-04-22,incidence Cases-- Liberia,170
2015-04-29,incidence Cases-- Liberia,110
2015-05-06,incidence Cases-- Liberia,242
2015-05-13,incidence Cases-- Liberia,40
2015-05-20,incidence Cases-- Liberia,62
2015-05-27,incidence Cases-- Liberia,0
2015-06-03,incidence Cases-- Liberia,0
2015-06-10,incidence Cases-- Liberia,0
2015-06-17,incidence Cases-- Liberia,0
2015-06-24,incidence Cases-- Liberia,0
2015-07-01,incidence Cases-- Liberia,0
2015-07-08,incidence Cases-- Liberia,4
2015-07-15,incidence Cases-- Liberia,3
2015-07-22,incidence Cases-- Liberia,-1
2015-07-29,incidence Cases-- Liberia,0
2015-08-05,incidence Cases-- Liberia,0
2015-08-12,incidence Cases-- Liberia,0
2015-08-19,incidence Cases-- Liberia,0
2015-08-26,incidence Cases-- Liberia,0
2015-09-03,incidence Cases-- Liberia,0
2015-09-10,incidence Cases-- Liberia,0
2015-09-17,incidence Cases-- Liberia,0
2015-09-24,incidence Cases-- Liberia,0
2015-10-01,incidence Cases-- Liberia,0
2015-10-08,incidence Cases-- Liberia,0
2015-10-15,incidence Cases-- Liberia,0
2015-10-22,incidence Cases-- Liberia,0
2015-10-29,incidence Cases-- Liberia,0
2015-11-05,incidence Cases-- Liberia,0
2015-11-11,incidence Cases-- Liberia,0
2015-11-18,incidence Cases-- Liberia,0
2015-11-25,incidence Cases-- Liberia,3
2015-12-02,incidence Cases-- Liberia,0
2015-12-09,incidence Cases-- Liberia,0
2015-12-16,incidence Cases-- Liberia,0
2015-12-23,incidence Cases-- Liberia,0
2015-12-30,incidence Cases-- Liberia,0
2016-01-06,incidence Cases-- Liberia,0
2016-01-13,incidence Cases-- Liberia,0
2016-01-20,incidence Cases-- Liberia,0
2016-01-27,incidence Cases-- Liberia,0
2016-02-03,incidence Cases-- Liberia,0
2016-02-10,incidence Cases-- Liberia,0
2016-02-17,incidence Cases-- Liberia,0
2014-03-01,incidence Deaths-- Liberia,0
2014-03-02,incidence Deaths-- Liberia,0
2014-03-03,incidence Deaths-- Liberia,0
2014-03-04,incidence Deaths-- Liberia,0
2014-03-05,incidence Deaths-- Liberia,0
2014-03-06,incidence Deaths-- Liberia,0
2014-03-07,incidence Deaths-- Liberia,0
2014-03-08,incidence Deaths-- Liberia,0
2014-03-09,incidence Deaths-- Liberia,0
2014-03-10,incidence Deaths-- Liberia,0
2014-03-11,incidence Deaths-- Liberia,0
2014-03-12,incidence Deaths-- Liberia,0
2014-03-13,incidence Deaths-- Liberia,0
2014-03-14,incidence Deaths-- Liberia,0
2014-03-15,incidence Deaths-- Liberia,0
2014-03-16,incidence Deaths-- Liberia,0
2014-03-17,incidence Deaths-- Liberia,0
2014-03-18,incidence Deaths-- Liberia,0
2014-03-19,incidence Deaths-- Liberia,0
2014-03-20,incidence Deaths-- Liberia,0
2014-03-21,incidence Deaths-- Liberia,0
2014-03-22,incidence Deaths-- Liberia,0
2014-03-23,incidence Deaths-- Liberia,0
2014-03-24,incidence Deaths-- Liberia,0
2014-03-25,incidence Deaths-- Liberia,0
2014-03-26,incidence Deaths-- Liberia,0
2014-03-27,incidence Deaths-- Liberia,6
2014-03-31,incidence Deaths-- Liberia,0
2014-04-01,incidence Deaths-- Liberia,-4
2014-04-02,incidence Deaths-- Liberia,3
2014-04-07,incidence Deaths-- Liberia,2
2014-04-10,incidence Deaths-- Liberia,7
2014-04-17,incidence Deaths-- Liberia,-1
2014-04-21,incidence Deaths-- Liberia,0
2014-04-23,incidence Deaths-- Liberia,-2
2014-04-30,incidence Deaths-- Liberia,0
2014-05-05,incidence Deaths-- Liberia,0
2014-05-14,incidence Deaths-- Liberia,0
2014-05-23,incidence Deaths-- Liberia,-2
2014-05-27,incidence Deaths-- Liberia,0
2014-05-28,incidence Deaths-- Liberia,0
2014-06-02,incidence Deaths-- Liberia,0
2014-06-05,incidence Deaths-- Liberia,0
2014-06-10,incidence Deaths-- Liberia,1
2014-06-11,incidence Deaths-- Liberia,0
2014-06-18,incidence Deaths-- Liberia,14
2014-06-24,incidence Deaths-- Liberia,10
2014-07-02,incidence Deaths-- Liberia,31
2014-07-07,incidence Deaths-- Liberia,10
2014-07-08,incidence Deaths-- Liberia,9
2014-07-14,incidence Deaths-- Liberia,4
2014-07-16,incidence Deaths-- Liberia,17
2014-07-21,incidence Deaths-- Liberia,11
2014-07-24,incidence Deaths-- Liberia,11
2014-07-28,incidence Deaths-- Liberia,2
2014-07-31,incidence Deaths-- Liberia,27
2014-08-03,incidence Deaths-- Liberia,71
2014-08-04,incidence Deaths-- Liberia,28
2014-08-08,incidence Deaths-- Liberia,39
2014-08-12,incidence Deaths-- Liberia,29
2014-08-13,incidence Deaths-- Liberia,32
2014-08-15,incidence Deaths-- Liberia,-7
2014-08-19,incidence Deaths-- Liberia,118
2014-08-21,incidence Deaths-- Liberia,110
2014-08-22,incidence Deaths-- Liberia,48
2014-08-28,incidence Deaths-- Liberia,70
2014-09-06,incidence Deaths-- Liberia,395
2014-09-08,incidence Deaths-- Liberia,135
2014-09-12,incidence Deaths-- Liberia,-87
2014-09-16,incidence Deaths-- Liberia,159
2014-09-18,incidence Deaths-- Liberia,163
2014-09-22,incidence Deaths-- Liberia,119
2014-09-24,incidence Deaths-- Liberia,99
2014-09-26,incidence Deaths-- Liberia,153
2014-10-01,incidence Deaths-- Liberia,168
2014-10-03,incidence Deaths-- Liberia,71
2014-10-08,incidence Deaths-- Liberia,141
2014-10-10,incidence Deaths-- Liberia,106
2014-10-15,incidence Deaths-- Liberia,142
2014-10-17,incidence Deaths-- Liberia,26
2014-10-22,incidence Deaths-- Liberia,221
2014-10-25,incidence Deaths-- Liberia,0
2014-10-29,incidence Deaths-- Liberia,-292
2014-10-31,incidence Deaths-- Liberia,0
2014-11-05,incidence Deaths-- Liberia,284
2014-11-07,incidence Deaths-- Liberia,69
2014-11-12,incidence Deaths-- Liberia,70
2014-11-14,incidence Deaths-- Liberia,-24
2014-11-19,incidence Deaths-- Liberia,152
2014-11-21,incidence Deaths-- Liberia,-1
2014-11-26,incidence Deaths-- Liberia,53
2014-11-28,incidence Deaths-- Liberia,129
2014-12-03,incidence Deaths-- Liberia,0
2014-12-10,incidence Deaths-- Liberia,32
2014-12-17,incidence Deaths-- Liberia,113
2014-12-24,incidence Deaths-- Liberia,94
2014-12-31,incidence Deaths-- Liberia,39
2015-01-07,incidence Deaths-- Liberia,73
2015-01-14,incidence Deaths-- Liberia,42
2015-01-21,incidence Deaths-- Liberia,67
2015-01-28,incidence Deaths-- Liberia,81
2015-02-04,incidence Deaths-- Liberia,60
2015-02-11,incidence Deaths-- Liberia,80
2015-02-18,incidence Deaths-- Liberia,74
2015-02-25,incidence Deaths-- Liberia,137
2015-03-04,incidence Deaths-- Liberia,80
2015-03-11,incidence Deaths-- Liberia,45
